maintenance_id,machine_id,timestamp,maintenance_type,duration_min
WO000162,M09A,2026-02-07 11:49:00,corrective,26.8
WO000163,M22A,2026-08-24 06:53:00,PM,154.2
WO000164,M09A,2026-09-24 19:22:00,PM,30.7
WO000165,M05B,2026-06-24 05:41:00,PM,59.7
WO000166,M01A,2026-05-13 04:32:00,calibration,9.5
WO000167,M14A,2026-01-06 04:41:00,corrective,36.3
WO000168,M11B,2026-10-17 14:32:00,PM,9.6
WO000169,M14A,2026-07-08 00:21:00,PM,51.9
WO000170,M08B,2026-10-15 19:58:00,PM,27.9
WO000171,M21B,2026-06-06 03:03:00,corrective,64.0
WO000172,M27B,2026-03-07 19:18:00,calibration,31.5
WO000173,M23A,2026-03-01 01:14:00,corrective,42.6
WO000174,M26A,2026-05-28 20:42:00,calibration,25.6
WO000175,M05B,2026-08-22 08:37:00,PM,5.0
WO000176,M22A,2026-08-11 05:36:00,inspection,163.3
WO000177,M06A,2026-06-03 22:17:00,PM,40.3
WO000178,M13A,2026-08-06 17:58:00,calibration,64.1
WO000179,M01A,2026-04-20 15:27:00,calibration,110.7
WO000180,M24B,2026-02-18 06:21:00,calibration,49.4
WO000181,M22B,2026-10-25 13:44:00,PM,76.1
WO000182,M06B,2026-07-13 15:11:00,PM,29.5
WO000183,M26B,2026-03-23 14:06:00,corrective,125.4
WO000184,M24A,2026-10-16 10:05:00,inspection,83.3
WO000185,M14B,2026-04-01 10:16:00,PM,23.4
WO000186,M06A,2026-04-19 15:42:00,PM,63.4
WO000187,M28A,2026-07-03 16:30:00,calibration,49.2
WO000188,M14B,2026-07-31 11:13:00,corrective,106.5
WO000189,M17A,2026-06-22 04:41:00,PM,135.4
WO000190,M14B,2026-08-06 11:24:00,PM,92.5
WO000191,M19B,2026-07-20 00:31:00,inspection,81.7
WO000192,M01A,2026-05-15 02:37:00,PM,45.4
WO000193,M15B,2026-08-12 19:29:00,inspection,22.1
WO000194,M14B,2026-08-11 16:04:00,calibration,5.0
WO000195,M26B,2026-01-12 18:44:00,PM,96.4
WO000196,M11B,2026-03-06 13:04:00,corrective,33.0
WO000197,M13B,2026-08-29 06:39:00,inspection,128.0
WO000198,M20A,2026-02-05 14:08:00,calibration,17.1
WO000199,M16B,2026-01-10 18:37:00,calibration,19.3
WO000200,M19B,2026-04-23 12:35:00,corrective,57.6
WO000201,M24A,2026-09-03 13:24:00,PM,39.8
WO000202,M02A,2026-04-05 08:21:00,calibration,52.6
WO000203,M09B,2026-03-07 03:46:00,PM,38.4
WO000204,M13B,2026-01-11 15:05:00,PM,152.0
WO000205,M07A,2026-03-16 03:50:00,PM,5.0
WO000206,M20A,2026-02-15 08:51:00,corrective,7.8
WO000207,M10B,2026-10-18 23:13:00,PM,107.5
WO000208,M26A,2026-03-05 10:08:00,PM,28.5
WO000209,M21A,2026-10-15 00:47:00,PM,49.8
WO000210,M25B,2026-03-28 19:51:00,PM,30.3
WO000211,M08B,2026-04-07 01:18:00,inspection,111.5
WO000212,M28A,2026-08-19 11:00:00,corrective,58.4
WO000213,M15A,2026-10-16 04:10:00,calibration,43.6
WO000214,M11B,2026-03-23 23:09:00,inspection,54.2
WO000215,M07A,2026-05-15 12:32:00,calibration,109.5
WO000216,M28A,2026-01-22 03:07:00,inspection,119.4
WO000217,M19B,2026-01-16 12:55:00,PM,12.8
WO000218,M24A,2026-09-28 14:30:00,PM,26.0
WO000219,M01A,2026-06-10 17:54:00,PM,109.5
WO000220,M27B,2026-04-22 06:52:00,inspection,42.8
WO000221,M17A,2026-06-29 15:21:00,calibration,45.9
WO000222,M27B,2026-09-14 11:35:00,PM,115.7
WO000223,M27A,2026-04-25 05:57:00,PM,16.1
WO000224,M28B,2026-06-27 21:01:00,PM,18.0
WO000225,M12A,2026-02-02 08:54:00,calibration,44.3
WO000226,M16A,2026-06-22 20:06:00,PM,167.4
WO000227,M26B,2026-09-05 22:35:00,PM,124.4
WO000228,M24B,2026-10-15 08:04:00,calibration,32.6
WO000229,M17B,2026-09-11 11:55:00,corrective,24.8
WO000230,M24A,2026-04-16 08:05:00,inspection,36.3
WO000231,M11B,2026-09-13 02:30:00,PM,56.1
WO000232,M27B,2026-08-24 22:53:00,corrective,58.0
WO000233,M01A,2026-04-06 11:19:00,corrective,22.7
WO000234,M11A,2026-06-12 00:42:00,corrective,185.4
WO000235,M16B,2026-08-15 23:06:00,inspection,66.0
WO000236,M05B,2026-02-11 06:58:00,PM,49.8
WO000237,M07B,2026-03-21 01:29:00,PM,76.8
WO000238,M04B,2026-06-21 21:00:00,corrective,119.9
WO000239,M01A,2026-02-13 17:19:00,calibration,22.7
WO000240,M09A,2026-07-06 02:24:00,inspection,19.9
WO000241,M19A,2026-02-16 11:58:00,PM,73.3
WO000242,M14B,2026-10-14 02:47:00,calibration,108.6
WO000243,M16B,2026-01-03 13:32:00,PM,22.8
WO000244,M22B,2026-06-11 20:16:00,inspection,85.3
WO000245,M19B,2026-05-01 02:36:00,inspection,74.5
WO000246,M03A,2026-04-19 21:11:00,inspection,44.4
WO000247,M05A,2026-06-19 18:57:00,PM,24.4
WO000248,M11B,2026-07-10 01:45:00,corrective,31.1
WO000249,M10B,2026-09-05 19:00:00,calibration,115.8
WO000250,M14A,2026-04-27 01:37:00,inspection,25.7
WO000251,M04A,2026-04-05 01:50:00,PM,48.2
WO000252,M10B,2026-05-16 13:22:00,inspection,158.3
WO000253,M09A,2026-03-18 14:48:00,corrective,41.2
WO000254,M16A,2026-01-16 16:52:00,PM,140.1
WO000255,M24B,2026-04-07 19:53:00,PM,72.5
WO000256,M01B,2026-05-27 22:08:00,PM,68.1
WO000257,M25A,2026-04-21 02:46:00,PM,65.2
WO000258,M24B,2026-07-03 08:35:00,inspection,87.8
WO000259,M09B,2026-07-15 12:22:00,calibration,37.7
WO000260,M22B,2026-10-03 14:33:00,PM,128.1
WO000261,M04A,2026-04-03 00:29:00,calibration,104.4
WO000262,M14B,2026-03-30 16:19:00,corrective,135.1
WO000263,M20B,2026-01-05 05:24:00,calibration,52.8
WO000264,M07B,2026-03-24 07:35:00,inspection,219.5
WO000265,M04B,2026-03-10 09:53:00,corrective,6.5
WO000266,M03A,2026-03-03 19:38:00,PM,79.5
WO000267,M02A,2026-09-23 17:30:00,PM,39.2
WO000268,M07A,2026-01-21 13:21:00,calibration,26.5
WO000269,M19A,2026-10-12 19:56:00,PM,41.3
WO000270,M08A,2026-09-04 22:11:00,PM,28.4
WO000271,M10B,2026-09-06 10:33:00,calibration,38.0
WO000272,M23B,2026-08-09 01:47:00,calibration,53.0
WO000273,M09A,2026-06-25 15:14:00,PM,61.3
WO000274,M14B,2026-07-05 07:20:00,PM,39.1
WO000275,M02A,2026-04-02 12:58:00,calibration,10.3
WO000276,M23A,2026-04-09 14:27:00,PM,64.5
WO000277,M18B,2026-06-15 22:20:00,calibration,26.2
WO000278,M24B,2026-10-26 14:23:00,PM,117.8
WO000279,M12B,2026-10-24 06:47:00,corrective,31.4
WO000280,M17B,2026-08-09 23:11:00,inspection,150.4
WO000281,M16A,2026-07-24 01:46:00,PM,44.8
WO000282,M10B,2026-08-26 19:54:00,inspection,32.0
WO000283,M04B,2026-08-12 08:16:00,corrective,82.2
WO000284,M01A,2026-05-02 01:25:00,corrective,27.3
WO000285,M18B,2026-08-12 12:57:00,calibration,24.3
WO000286,M22B,2026-03-27 01:28:00,PM,34.5
WO000287,M26A,2026-04-29 07:29:00,PM,90.8
WO000288,M20A,2026-05-12 07:56:00,inspection,25.7
WO000289,M01B,2026-03-30 18:22:00,inspection,67.2
WO000290,M01A,2026-04-15 01:30:00,corrective,72.0
WO000291,M04A,2026-01-16 19:11:00,PM,68.4
WO000292,M10B,2026-08-01 05:07:00,PM,71.4
WO000293,M24B,2026-03-09 03:10:00,corrective,23.6
WO000294,M08A,2026-03-18 20:10:00,corrective,17.9
WO000295,M25B,2026-03-16 12:48:00,inspection,59.2
WO000296,M15A,2026-01-21 11:08:00,calibration,23.2
WO000297,M12B,2026-07-08 03:00:00,PM,66.7
WO000298,M03A,2026-06-03 05:34:00,PM,110.1
WO000299,M02B,2026-03-14 01:54:00,calibration,89.8
WO000300,M15B,2026-02-11 04:22:00,calibration,33.9
WO000301,M11A,2026-05-24 15:16:00,PM,71.7
WO000302,M05B,2026-08-06 19:10:00,PM,8.8
WO000303,M16B,2026-05-05 20:50:00,corrective,92.5
WO000304,M18B,2026-08-30 12:49:00,corrective,50.0
WO000305,M15B,2026-09-11 19:39:00,inspection,29.4
WO000306,M15A,2026-08-26 14:25:00,PM,20.2
WO000307,M18A,2026-02-14 13:16:00,PM,12.8
WO000308,M07A,2026-01-03 05:30:00,PM,6.5
WO000309,M21A,2026-04-10 08:27:00,inspection,49.1
WO000310,M17A,2026-03-20 09:46:00,PM,52.6
WO000311,M10B,2026-04-10 07:14:00,calibration,56.4
WO000312,M21A,2026-06-16 01:10:00,PM,83.0
WO000313,M04A,2026-03-11 15:33:00,inspection,48.7
WO000314,M20B,2026-02-11 01:48:00,corrective,49.0
WO000315,M23B,2026-02-25 15:22:00,calibration,85.2
WO000316,M02A,2026-09-15 18:55:00,PM,49.5
WO000317,M28B,2026-10-16 08:27:00,PM,118.3
WO000318,M28B,2026-07-16 04:40:00,PM,72.4
WO000319,M26A,2026-01-18 17:21:00,inspection,30.2
WO000320,M06B,2026-04-27 09:44:00,PM,56.3
WO000321,M06B,2026-04-03 11:02:00,inspection,20.7
WO000322,M03B,2026-09-05 02:44:00,inspection,84.6
WO000323,M23B,2026-07-27 11:09:00,calibration,93.9
WO000324,M01A,2026-03-13 15:07:00,PM,45.6
WO000325,M23B,2026-03-03 13:17:00,corrective,48.9
WO000326,M21A,2026-03-22 04:45:00,PM,94.0
WO000327,M12A,2026-01-13 06:22:00,PM,104.1
WO000328,M05A,2026-01-31 04:24:00,PM,98.2
WO000329,M06B,2026-01-22 18:45:00,PM,44.7
WO000330,M26B,2026-06-21 02:46:00,corrective,44.5
WO000331,M21B,2026-07-23 07:40:00,PM,37.3
WO000332,M02A,2026-04-02 22:17:00,inspection,53.6
WO000333,M16A,2026-07-31 06:11:00,inspection,76.5
WO000334,M09A,2026-10-08 20:04:00,PM,69.3
WO000335,M23B,2026-02-26 13:17:00,PM,25.9
WO000336,M13B,2026-04-19 01:45:00,PM,97.6
WO000337,M23A,2026-06-02 06:27:00,PM,5.0
WO000338,M25B,2026-01-14 21:01:00,PM,50.9
WO000339,M04B,2026-01-07 19:48:00,inspection,32.5
WO000340,M09B,2026-10-01 05:49:00,PM,71.2
WO000341,M19A,2026-01-03 16:26:00,inspection,30.6
WO000342,M02B,2026-05-15 19:27:00,corrective,35.1
WO000343,M18B,2026-05-02 12:14:00,calibration,50.0
WO000344,M08A,2026-03-13 06:39:00,PM,17.0
WO000345,M02A,2026-05-21 15:53:00,PM,54.3
WO000346,M04B,2026-09-12 00:21:00,PM,77.0
WO000347,M27B,2026-03-05 06:14:00,PM,34.6
WO000348,M21A,2026-01-27 12:13:00,PM,52.6
WO000349,M04B,2026-05-13 05:32:00,PM,23.4
WO000350,M27B,2026-08-05 11:48:00,corrective,121.6
WO000351,M03B,2026-02-20 11:35:00,calibration,54.7
WO000352,M12B,2026-10-15 19:08:00,PM,20.9
WO000353,M21B,2026-05-04 13:16:00,PM,34.4
WO000354,M10A,2026-02-11 09:50:00,inspection,16.8
WO000355,M02A,2026-06-29 03:28:00,calibration,18.0
WO000356,M09B,2026-02-15 15:03:00,PM,30.0
WO000357,M28A,2026-10-14 05:20:00,PM,67.1
WO000358,M23B,2026-03-01 18:15:00,inspection,26.0
WO000359,M15A,2026-08-23 23:27:00,inspection,16.5
WO000360,M22A,2026-02-01 16:52:00,PM,39.5
WO000361,M15B,2026-07-26 13:58:00,corrective,120.4
WO000362,M08A,2026-05-07 22:54:00,calibration,55.9
WO000363,M09A,2026-05-11 02:46:00,PM,73.8
WO000364,M14A,2026-10-17 17:52:00,PM,15.2
WO000365,M15B,2026-02-27 13:37:00,corrective,94.9
WO000366,M16A,2026-03-18 04:25:00,calibration,24.0
WO000367,M17B,2026-06-11 19:25:00,calibration,115.6
WO000368,M12B,2026-05-03 00:08:00,calibration,86.7
WO000369,M19A,2026-07-10 22:51:00,PM,73.5
WO000370,M20B,2026-06-24 06:31:00,PM,38.5
WO000371,M15A,2026-10-26 22:32:00,inspection,35.8
WO000372,M09A,2026-01-07 16:46:00,calibration,60.3
WO000373,M08B,2026-09-23 03:48:00,calibration,19.6
WO000374,M03A,2026-01-31 20:16:00,PM,233.0
WO000375,M14A,2026-04-15 23:53:00,corrective,10.3
WO000376,M14A,2026-10-21 09:53:00,inspection,135.1
WO000377,M24A,2026-06-03 07:52:00,PM,91.6
WO000378,M02A,2026-09-24 01:55:00,PM,50.4
WO000379,M28B,2026-06-01 04:34:00,PM,98.3
WO000380,M19A,2026-07-07 08:16:00,PM,48.1
WO000381,M25B,2026-02-02 23:28:00,inspection,60.2
WO000382,M28A,2026-09-06 01:54:00,PM,7.5
WO000383,M25B,2026-09-24 23:09:00,PM,101.0
WO000384,M23B,2026-04-02 10:28:00,inspection,76.9
WO000385,M21B,2026-05-24 10:30:00,PM,130.8
WO000386,M22B,2026-02-01 16:19:00,calibration,94.7
WO000387,M19A,2026-07-08 05:56:00,corrective,69.7
WO000388,M02A,2026-07-10 00:31:00,PM,34.3
WO000389,M15B,2026-01-19 08:10:00,PM,6.3
WO000390,M19A,2026-09-06 12:58:00,corrective,17.7
WO000391,M09B,2026-03-03 21:13:00,corrective,84.5
WO000392,M21B,2026-08-30 09:00:00,inspection,83.8
WO000393,M21A,2026-05-12 03:13:00,PM,39.1
WO000394,M19B,2026-09-15 15:47:00,PM,32.2
WO000395,M15B,2026-07-29 13:08:00,PM,165.3
WO000396,M28A,2026-03-17 08:26:00,PM,42.0
WO000397,M24B,2026-03-23 22:02:00,calibration,75.6
WO000398,M13B,2026-05-03 18:15:00,inspection,32.7
WO000399,M27B,2026-08-12 23:40:00,inspection,42.9
WO000400,M06A,2026-03-14 05:31:00,PM,32.4
WO000401,M01B,2026-07-12 03:51:00,PM,61.3
WO000402,M19B,2026-06-25 09:22:00,PM,69.1
WO000403,M27B,2026-08-15 12:06:00,PM,41.8
WO000404,M13A,2026-02-03 10:30:00,corrective,200.7
WO000405,M25B,2026-08-20 15:15:00,inspection,24.3
WO000406,M25A,2026-02-28 10:43:00,PM,8.0
WO000407,M13B,2026-02-21 02:30:00,corrective,17.3
WO000408,M21B,2026-07-12 03:34:00,corrective,274.8
WO000409,M02A,2026-06-21 03:16:00,PM,33.0
WO000410,M21A,2026-04-15 00:14:00,PM,15.3
WO000411,M16B,2026-03-16 00:15:00,corrective,21.9
WO000412,M12A,2026-08-09 13:10:00,calibration,25.1
WO000413,M28A,2026-02-07 16:05:00,PM,26.6
WO000414,M06B,2026-06-21 06:32:00,PM,145.4
WO000415,M20A,2026-10-13 02:37:00,PM,106.9
WO000416,M02B,2026-07-29 08:16:00,PM,35.1
WO000417,M26B,2026-04-26 22:25:00,PM,105.5
WO000418,M22B,2026-04-15 16:05:00,inspection,24.4
WO000419,M17B,2026-07-21 02:08:00,corrective,30.6
WO000420,M25A,2026-07-27 17:17:00,corrective,86.3
WO000421,M09A,2026-03-30 10:11:00,PM,44.5
WO000422,M25A,2026-08-23 08:34:00,PM,116.8
WO000423,M20A,2026-08-24 00:15:00,PM,88.7
WO000424,M19B,2026-04-27 06:45:00,calibration,29.3
WO000425,M16B,2026-04-10 01:09:00,PM,89.9
WO000426,M12A,2026-10-24 07:10:00,corrective,24.7
WO000427,M13B,2026-08-13 05:46:00,PM,39.5
WO000428,M05B,2026-07-22 03:19:00,PM,58.6
WO000429,M16B,2026-04-28 01:37:00,PM,84.6
WO000430,M02B,2026-03-01 16:13:00,inspection,55.5
WO000431,M19B,2026-09-08 09:44:00,corrective,172.1
WO000432,M06B,2026-01-05 15:58:00,corrective,66.9
WO000433,M05B,2026-09-30 20:05:00,PM,98.6
WO000434,M25B,2026-07-02 06:48:00,PM,57.9
WO000435,M13B,2026-03-28 07:53:00,PM,47.5
WO000436,M12B,2026-01-22 16:19:00,calibration,28.6
WO000437,M05A,2026-10-09 14:33:00,PM,26.7
WO000438,M06B,2026-06-19 14:43:00,corrective,144.7
WO000439,M11B,2026-01-21 23:18:00,calibration,55.2
WO000440,M16A,2026-07-19 09:53:00,PM,102.6
WO000441,M19B,2026-03-12 08:16:00,PM,79.0
WO000442,M22B,2026-03-16 06:51:00,inspection,108.5
WO000443,M10A,2026-07-17 04:49:00,PM,16.9
WO000444,M14B,2026-08-17 12:08:00,PM,54.9
WO000445,M05A,2026-09-26 17:41:00,calibration,21.4
WO000446,M26A,2026-01-03 19:20:00,calibration,5.0
WO000447,M11B,2026-05-02 18:06:00,PM,75.6
WO000448,M13A,2026-10-13 17:27:00,PM,21.3
WO000449,M25A,2026-08-24 16:32:00,PM,27.5
WO000450,M10B,2026-05-03 06:18:00,calibration,33.7
WO000451,M04B,2026-01-20 01:15:00,corrective,65.1
WO000452,M14A,2026-01-25 22:30:00,corrective,25.7
WO000453,M20A,2026-06-10 02:11:00,calibration,57.2
WO000454,M23A,2026-03-05 16:59:00,corrective,131.9
WO000455,M22A,2026-02-28 05:37:00,calibration,90.7
WO000456,M13B,2026-06-21 23:47:00,PM,19.7
WO000457,M10A,2026-06-14 17:12:00,PM,99.6
WO000458,M23B,2026-03-08 21:01:00,inspection,35.6
WO000459,M25B,2026-05-23 09:09:00,inspection,51.8
WO000460,M08A,2026-07-27 09:53:00,calibration,75.4
WO000461,M20A,2026-05-05 23:37:00,PM,16.8
WO000462,M13A,2026-02-18 10:57:00,corrective,20.1
WO000463,M04A,2026-04-13 07:37:00,PM,79.7
WO000464,M08B,2026-02-21 01:06:00,inspection,46.9
WO000465,M15A,2026-09-13 16:15:00,corrective,18.3
WO000466,M20A,2026-04-03 14:21:00,PM,45.8
WO000467,M09A,2026-04-07 15:17:00,PM,26.2
WO000468,M05A,2026-08-02 21:36:00,corrective,26.2
WO000469,M13B,2026-09-15 18:17:00,calibration,56.8
WO000470,M25B,2026-01-31 16:39:00,PM,63.0
WO000471,M25B,2026-06-30 07:16:00,inspection,91.1
